[-5.76,-2.70,3.45,0.00,0.00,0.25,0.06,0.06,0.03,0.10,0.09,0.04,0.04,0.14,0.14,0.05,0.07,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.00,0.03,0.00,0.07,0.01,0.09,0.02,0.02,0.00,0.00,0.09,0.01,0.06,0.07,0.04,0.04,0.11,0.00,0.07,0.03,0.13,0.07,0.06,0.04,0.09,0.09,0.03,0.03,0.09,0.08,0.00]
[-5.72,-2.62,3.35,0.00,0.00,0.24,0.07,0.07,0.03,0.10,0.09,0.04,0.04,0.14,0.14,0.05,0.07,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.00,0.03,0.00,0.07,0.01,0.09,0.02,0.02,0.00,0.00,0.09,0.01,0.06,0.07,0.04,0.04,0.11,0.00,0.07,0.03,0.13,0.07,0.09,0.07,0.09,0.09,0.03,0.03,0.09,0.08,0.00]
[-5.64,-2.55,3.28,0.00,0.00,0.24,0.07,0.07,0.03,0.11,0.10,0.04,0.04,0.14,0.14,0.05,0.07,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.00,0.03,0.00,0.07,0.01,0.09,0.03,0.02,0.00,0.00,0.09,0.01,0.07,0.07,0.04,0.04,0.10,0.00,0.07,0.03,0.12,0.07,0.11,0.08,0.10,0.09,0.03,0.03,0.09,0.08,0.00]
[-5.16,-2.22,3.14,0.00,0.00,0.27,0.08,0.08,0.03,0.12,0.11,0.02,0.02,0.13,0.13,0.06,0.06,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.04,0.00,0.06,0.01,0.07,0.04,0.04,0.00,0.00,0.07,0.01,0.07,0.07,0.04,0.04,0.09,0.00,0.08,0.03,0.15,0.08,0.18,0.15,0.10,0.09,0.03,0.03,0.09,0.08,0.00]
[-5.09,-2.21,3.14,0.00,0.00,0.27,0.09,0.09,0.03,0.12,0.11,0.01,0.01,0.13,0.13,0.06,0.06,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.04,0.00,0.06,0.01,0.07,0.05,0.04,0.00,0.00,0.06,0.01,0.07,0.07,0.05,0.05,0.09,0.00,0.09,0.03,0.17,0.09,0.18,0.15,0.10,0.09,0.03,0.03,0.09,0.08,0.00]
[-5.09,-2.23,3.17,0.00,0.00,0.28,0.09,0.09,0.03,0.12,0.11,0.01,0.01,0.13,0.13,0.06,0.06,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.04,0.00,0.06,0.01,0.06,0.06,0.05,0.00,0.00,0.06,0.01,0.07,0.07,0.05,0.05,0.08,0.00,0.09,0.03,0.18,0.10,0.19,0.16,0.10,0.09,0.03,0.03,0.09,0.08,0.00]
[-5.22,-2.24,3.17,0.00,0.00,0.28,0.09,0.09,0.03,0.12,0.11,0.01,0.01,0.13,0.13,0.06,0.06,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.04,0.00,0.06,0.01,0.06,0.07,0.06,0.00,0.00,0.06,0.01,0.07,0.07,0.06,0.06,0.08,0.00,0.10,0.03,0.19,0.10,0.19,0.16,0.10,0.09,0.03,0.03,0.09,0.08,0.00]
[-5.38,-2.23,3.14,0.00,0.00,0.25,0.08,0.08,0.03,0.12,0.11,0.01,0.01,0.13,0.13,0.06,0.06,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.04,0.00,0.06,0.01,0.06,0.08,0.06,0.00,0.00,0.05,0.01,0.07,0.07,0.06,0.06,0.08,0.00,0.10,0.03,0.19,0.11,0.19,0.17,0.10,0.09,0.03,0.03,0.09,0.08,0.00]
[-5.57,-2.21,3.10,0.00,0.00,0.24,0.06,0.06,0.03,0.12,0.11,0.01,0.01,0.13,0.13,0.06,0.06,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.05,0.00,0.06,0.01,0.06,0.08,0.07,0.00,0.00,0.05,0.01,0.07,0.07,0.06,0.06,0.08,0.00,0.10,0.04,0.20,0.11,0.20,0.17,0.10,0.10,0.03,0.03,0.09,0.08,0.00]
[-5.78,-2.16,3.00,0.00,0.00,0.22,0.04,0.04,0.03,0.12,0.11,0.01,0.01,0.13,0.13,0.07,0.06,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.05,0.00,0.06,0.01,0.06,0.09,0.08,0.00,0.00,0.05,0.01,0.07,0.08,0.07,0.07,0.08,0.00,0.11,0.04,0.21,0.12,0.21,0.18,0.10,0.10,0.03,0.03,0.09,0.08,0.00]
